わたし,আমি,watashi
わたしたち,আমরা / আমাদের,watashitachi
あんた,তুমি,anta
あのひと,ওই ব্যক্তি / সে (ছেলে/মেয়ে),anohito
あのかた,ওই ব্যক্তি (বেশি ভদ্র),anokata
みなさん,সবাই / মহোদয়গণ,minasan
～さん,জনাব/জনাবা (সম্মানসূচক),san
～ちゃん,ডাকনাম/স্নেহবাচক সম্বোধন,chan
～くん,সম্বোধন (ছেলেদের জন্য),kun
～じん,জাতীয়তার মানুষ (যেমন にほんじん = জাপানি লোক),jin
せんせい,শিক্ষক / স্যার,sensei
きょうし,শিক্ষক (পেশা হিসেবে),kyoushi
がくせい,ছাত্র,gakusei
かいしゃいん,কোম্পানির কর্মচারী,kaishain
しゃいん,(কোম্পানির) কর্মচারী,shain
ぎんこういん,ব্যাংকের কর্মচারী,ginkouin
いしゃ,ডাক্তার,isha
けんきゅうしゃ,গবেষক / বিজ্ঞানী,kenkyuusha
エンジニア,ইঞ্জিনিয়ার,enjinia
だいがく,বিশ্ববিদ্যালয়,daigaku
びょういん,হাসপাতাল,byouin
でんき,বিদ্যুৎ,denki
だれ,কে,dare
どなた,কে (বেশি ভদ্র),donata
～さい,… বছর বয়স,sai
なんさい,কত বছর বয়স,nansai
おいくつ,কত বছর বয়স (ভদ্র),oikutsu
はい,হ্যাঁ,hai
いいえ,না,iie
しつれいですが,দুঃখিত / ক্ষমা করবেন,shitsurei desu ga
おなまえは,আপনার নাম কী?,onamae wa
はじめまして,প্রথম দেখা / পরিচিতি দেওয়ার সময় ব্যবহৃত অভিবাদন,hajimemashite
どうぞよろしく（おねがいします）,অনুগ্রহ করে ভালোভাবে দেখবেন / সহযোগিতা করবেন,douzo yoroshiku (onegaishimasu)
こちらは～さんです,এইজন …-সান,kochira wa ~san desu
～からきました,… থেকে এসেছি,~kara kimashita
アメリカ,আমেরিকা,amerika
イギリス,ইংল্যান্ড / ব্রিটেন,igirisu
インド,ভারত,indo
インドネシア,ইন্দোনেশিয়া,indoneshia
かんこく,কোরিয়া,kankoku
タイ,থাইল্যান্ড,tai
ちゅうごく,চীন,chuugoku
ドイツ,জার্মানি,doitsu
にほん,জাপান,nihon
フランス,ফ্রান্স,furansu
ブラジル,ব্রাজিল,burajiru
