Japanese,Bengali,Romaji
ここ,এখানে / এই জায়গা,koko
そこ,ওখানে / সেই জায়গা (তোমার কাছে),soko
あそこ,সেখানে / ওই জায়গা (দূরে),asoko
どこ,কোথায় / কোন জায়গা?,doko
こちら,এই দিক / এখানে (ভদ্র),kochira
そちら,ওই দিক / সেখানে (ভদ্র),sochira
あちら,সেই দিক / ওখানে (ভদ্র),achira
どちら,কোন দিক / কোথায় (ভদ্র),dochira
きょうしつ,ক্লাসরুম,kyoushitsu
しょくどう,ক্যান্টিন / খাবার ঘর,shokudou
じむしょ,অফিস,jimusho
かいぎしつ,মিটিং রুম,kaigishitsu
うけつけ,রিসেপশন,uketsuke
ロビー,লবি,roobii
へや,ঘর / রুম,heya
トイレ,টয়লেট / বাথরুম,toire
かいだん,সিঁড়ি,kaidan
エレベーター,লিফট / এলিভেটর,erebeetaa
エスカレーター,এস্কেলেটর,esukareetaa
くに,দেশ,kuni
かいしゃ,কোম্পানি / অফিস,kaisha
うち,বাড়ি,uchi
でんわ,টেলিফোন,denwa
くつ,জুতো,kutsu
ネクタイ,টাই,nekutai
ワイン,মদ / ওয়াইন,wain
たばこ,সিগারেট,tabako
うりば,বিক্রয় বিভাগ,uriba
ちか,ভূগর্ভ / বেজমেন্ট,chika
なんがい,কোন তলা,nangai
～えん,ইয়েন (জাপানি মুদ্রা),en
いくら,কত দাম,ikura
ひゃく,একশো,hyaku
せん,এক হাজার,sen
まん,দশ হাজার,man
すみません,মাফ করবেন / দুঃখিত,sumimasen
どうも,ধন্যবাদ,doumo
