おきます,উঠি / ঘুম থেকে উঠি,okimasu
ねます,ঘুমাই / শুতে যাই,nemasu
はたらきます,কাজ করি,hatarakimasu
やすみます,বিশ্রাম নেই / ছুটি নেই,yasumimasu
べんきょうします,পড়াশোনা করি,benkyoushimasu
おわります,শেষ করি,owarimasu
デパート,ডিপার্টমেন্ট স্টোর,depaato
ぎんこう,ব্যাংক,ginkou
ゆうびんきょく,ডাকঘর,yuubinkyoku
としょかん,লাইব্রেরি,toshokan
びじゅつかん,শিল্পকলা জাদুঘর,bijutsukan
いま,এখন,ima
～じ,...টা বাজে,ji
～ふん／ぷん,...মিনিট,fun/pun
はん,সাড়ে ...টা,han
なんじ,কটা বাজে?,nanji
なんふん,কত মিনিট?,nanpun
ごぜん,সকাল / পূর্বাহ্ন,gozen
ごご,বিকাল / অপরাহ্ন,gogo
あさ,সকাল,asa
ひる,দুপুর,hiru
ばん（よる）,রাত / সন্ধ্যা,ban (yoru)
おととい,পরশুদিন,ototoi
きのう,গতকাল,kinou
きょう,আজ,kyou
あした,আগামীকাল,ashita
あさって,আগামী পরশু,asatte
けさ,আজ সকাল,kesa
こんばん,আজ রাত,konban
やすみ,ছুটি / অবসর,yasumi
ひるやすみ,দুপুরের বিরতি,hiruyasumi
まいあさ,প্রতিদিন সকাল,maiasa
まいばん,প্রতিদিন রাত,maiban
まいにち,প্রতিদিন,mainichi
げつようび,সোমবার,getsuyoubi
かようび,মঙ্গলবার,kayoubi
すいようび,বুধবার,suiyoubi
もくようび,বৃহস্পতিবার,mokuyoubi
きんようび,শুক্রবার,kin'youbi
どようび,শনিবার,doyoubi
にちようび,রবিবার,nichiyoubi
なんようび,সপ্তাহের কোন দিন?,nanyoubi
ばんごう,নম্বর,bangou
なんばん,কোন নম্বর?,nanban
～から,... থেকে,kara
～まで,... পর্যন্ত,made
と,এবং,to
そちら,আপনার দিক,sochira
たいへんですね,খুব কষ্টকর তাই না?,taihen desu ne
えーと,আচ্ছা / দেখি তো,eeto
おねがいします,অনুগ্রহ করে,onegai shimasu
かしこまりました,অবশ্যই / বুঝেছি,kashikomarimashita
ありがとうございます,ধন্যবাদ,arigatou gozaimasu
ニューヨーク,নিউ ইয়র্ক,nyuuyooku
ペキン,বেইজিং,pekin
ロンドン,লন্ডন,rondon
バンコク,ব্যাংকক,bankoku
ロサンゼルス,লস অ্যাঞ্জেলেস,rosanzerusu
