いきます,যাই,ikimasu
きます,আসি,kimasu
かえります,ফিরে যাই / বাড়ি যাই,kaerimasu
がっこう,স্কুল,gakkou
スーパー,সুপারমার্কেট,suupaa
えき,স্টেশন,eki
ひこうき,বিমান,hikouki
ふね,জাহাজ,fune
でんしゃ,ট্রেন (বিদ্যুৎ চালিত),densha
ちかてつ,ভূগর্ভস্থ রেল (মেট্রো),chikatetsu
しんかんせん,শিনকানসেন (বুলেট ট্রেন),shinkansen
バス,বাস,basu
タクシー,ট্যাক্সি,takushii
じてんしゃ,সাইকেল,jitensha
あるいて,হেঁটে,aruite
ひと,মানুষ,hito
ともだち,বন্ধু,tomodachi
かれ,সে (ছেলে),kare
かのじょ,সে (মেয়ে),kanojo
かぞく,পরিবার,kazoku
ひとりで,একাই,hitori de
せんしゅう,গত সপ্তাহ,senshuu
こんしゅう,এই সপ্তাহ,konshuu
らいしゅう,আগামী সপ্তাহ,raishuu
せんげつ,গত মাস,sengetsu
こんげつ,এই মাস,kongetsu
らいげつ,আগামী মাস,raigetsu
きょねん,গত বছর,kyo'nen
ことし,এই বছর,kotoshi
らいねん,আগামী বছর,rainen
～がつ,... মাস,gatsu
なんがつ,কোন মাস,nangatsu
ついたち,তারিখ ১ (মাসের প্রথম দিন),tsuitachi
ふつか,তারিখ ২,futsuka
みっか,তারিখ ৩,mikka
よっか,তারিখ ৪,yokka
いつか,তারিখ ৫,itsuka
むいか,তারিখ ৬,muika
なのか,তারিখ ৭,nanoka
ようか,তারিখ ৮,youka
ここのか,তারিখ ৯,kokonoka
とおか,তারিখ ১০,tooka
じゅうよっか,তারিখ ১৪,juuyokka
はつか,তারিখ ২০,hatsuka
にじゅうよっか,তারিখ ২৪,nijuuyokka
～にち,... তারিখ,nichi
なんにち,কোন তারিখ?,nannichi
たんじょうび,জন্মদিন,tanjoubi
ふつう,লোকাল ট্রেন,futsuu
きゅうこう,এক্সপ্রেস ট্রেন,kyuukou
とっきゅう,স্পেশাল এক্সপ্রেস,tokkyuu
つぎの,পরের,tsugi no
どういたしまして,স্বাগতম / কোনো সমস্যা নেই,dou itashimashite
～ばんせん,প্ল্যাটফর্ম নম্বর...,bansen
ありがとうございました,ধন্যবাদ (অতীত),arigatou gozaimashita
～ですね,… তাই না?,desu ne
～にん,... জন (মানুষ গোনার কাউন্টার),nin
