"わたし","আমি","わたし (Watashi)

Literal meaning: “আমি”.

Usage: প্রথম পুরুষ একবচন (I) বোঝাতে ব্যবহৃত হয়। মহিলারা এবং ভদ্র পরিবেশে বেশি ব্যবহার করেন।

Politeness: Polite.

Examples:
わたし は がくせい です。→ আমি একজন ছাত্র।
わたし の なまえ は さとう です。→ আমার নাম সাতো।

👉 Think of it as: “আমি (ভদ্র/নিরপেক্ষভাবে নিজেকে বোঝাতে)।”"
"わたしたち","আমরা / আমাদের","わたしたち (Watashitachi)

Literal meaning: “আমরা / আমাদের”.

Usage: ‘আমরা’ বা first-person plural বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
わたしたち は かいしゃいん です。→ আমরা কোম্পানির কর্মী।
わたしたち の だいがく は おおきい です।→ আমাদের বিশ্ববিদ্যালয় বড়।

👉 Think of it as: “আমরা।”"
"あんた","তুমি","あんた (Anta)

Literal meaning: “তুমি”.

Usage: তুমি/আপনি বোঝাতে ব্যবহৃত হয়। ঘনিষ্ঠ সম্পর্ক বা রূঢ়ভাবে ব্যবহৃত হয়।

Politeness: Casual.

Examples:
あんた は どこ から きました か。→ তুমি কোথা থেকে এসেছো?
あんた は がくせい？→ তুমি কি ছাত্র?

👉 Think of it as: “তুমি” (ঘনিষ্ঠ বা রূঢ়)।"
"あのひと","ওই ব্যক্তি / সে (ছেলে/মেয়ে)","あのひと (Anohito)

Literal meaning: “ওই ব্যক্তি / সে (ছেলে/মেয়ে)”.

Usage: ওই ব্যক্তি (সে) বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
あのひと は せんせい です।→ ওই ব্যক্তি একজন শিক্ষক।
あのひと は にほんじん です।→ ওই ব্যক্তি জাপানি।

👉 Think of it as: “ওই ব্যক্তি / সে।”"
"あのかた","ওই ব্যক্তি (বেশি ভদ্র)","あのかた (Anokata)

Literal meaning: “ওই ব্যক্তি (বেশি ভদ্র)”.

Usage: ওই ব্যক্তি (ভদ্রভাবে) বোঝাতে ব্যবহৃত হয়।

Politeness: Polite.

Examples:
あのかた は いしゃ です।→ ওই ব্যক্তি একজন ডাক্তার।
あのかた は どなた ですか।→ উনি কে?

👉 Think of it as: “ওই ব্যক্তি (ভদ্রভাবে)।”"
"みなさん","সবাই / মহোদয়গণ","みなさん (Minasan)

Literal meaning: “সবাই / মহোদয়গণ”.

Usage: ‘সকলকে’ সম্বোধন করতে ব্যবহৃত হয়।

Politeness: Polite.

Examples:
みなさん、こんにちは。→ সবাইকে নমস্কার।
みなさん は がくせい ですか。→ আপনারা কি সবাই ছাত্র?

👉 Think of it as: “সবাই / আপনাদের সবাইকে।”"
"～さん","জনাব/জনাবা (সম্মানসূচক)","～さん (San)

Literal meaning: “জনাব/জনাবা (সম্মানসূচক)”.

Usage: একটি জনাব/জনাবা (সম্মানসূচক)।

Politeness: Neutral.

Examples:
～さん です。→ এটি জনাব/জনাবা (সম্মানসূচক)।
これは ～さん です。→ এটি জনাব/জনাবা (সম্মানসূচক)।

👉 Think of it as: “জনাব/জনাবা (সম্মানসূচক)।”"
"～ちゃん","ডাকনাম/স্নেহবাচক সম্বোধন","～ちゃん (Chan)

Literal meaning: “ডাকনাম/স্নেহবাচক সম্বোধন”.

Usage: একটি ডাকনাম/স্নেহবাচক সম্বোধন।

Politeness: Neutral.

Examples:
～ちゃん です。→ এটি ডাকনাম/স্নেহবাচক সম্বোধন।
これは ～ちゃん です。→ এটি ডাকনাম/স্নেহবাচক সম্বোধন।

👉 Think of it as: “ডাকনাম/স্নেহবাচক সম্বোধন।”"
"～くん","সম্বোধন (ছেলেদের জন্য)","～くん (Kun)

Literal meaning: “সম্বোধন (ছেলেদের জন্য)”.

Usage: একটি সম্বোধন (ছেলেদের জন্য)।

Politeness: Neutral.

Examples:
～くん です。→ এটি সম্বোধন (ছেলেদের জন্য)।
これは ～くん です。→ এটি সম্বোধন (ছেলেদের জন্য)।

👉 Think of it as: “সম্বোধন (ছেলেদের জন্য)।”"
"～じん","জাতীয়তার মানুষ (যেমন にほんじん = জাপানি লোক)","～じん (Jin)

Literal meaning: “জাতীয়তার মানুষ (যেমন にほんじん = জাপানি লোক)”.

Usage: একটি জাতীয়তার মানুষ (যেমন にほんじん = জাপানি লোক)।

Politeness: Neutral.

Examples:
～じん です。→ এটি জাতীয়তার মানুষ (যেমন にほんじん = জাপানি লোক)।
これは ～じん です。→ এটি জাতীয়তার মানুষ (যেমন にほんじん = জাপানি লোক)।

👉 Think of it as: “জাতীয়তার মানুষ (যেমন にほんじん = জাপানি লোক)।”"
"せんせい","শিক্ষক / স্যার","せんせい (Sensei)

Literal meaning: “শিক্ষক / স্যার”.

Usage: একটি শিক্ষক / স্যার।

Politeness: Neutral.

Examples:
せんせい です。→ এটি শিক্ষক / স্যার।
これは せんせい です。→ এটি শিক্ষক / স্যার।

👉 Think of it as: “শিক্ষক / স্যার।”"
