"Japanese","Bengali","Japanese (Romaji)

Literal meaning: “Bengali”.

Usage: একটি Bengali বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
Japanese です。→ এটি Bengali।
ここ は Japanese です。→ এখানে Bengali।

👉 Think of it as: “Bengali।”"
"ここ","এখানে / এই জায়গা","ここ (Koko)

Literal meaning: “এখানে / এই জায়গা”.

Usage: বক্তার কাছাকাছি জায়গা বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ここ は きょうしつ です。→ এখানে ক্লাসরুম।
トイレ は ここ です。→ টয়লেট এখানে।

👉 Think of it as: “এখানে (আমার কাছে)।”"
"そこ","ওখানে / সেই জায়গা (তোমার কাছে)","そこ (Soko)

Literal meaning: “ওখানে / সেই জায়গা (তোমার কাছে)”.

Usage: শ্রোতার কাছাকাছি জায়গা বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
そこ は じむしょ です。→ ওখানে অফিস।
いす は そこ です。→ চেয়ার ওখানে।

👉 Think of it as: “ওখানে (তোমার কাছে)।”"
"あそこ","সেখানে / ওই জায়গা (দূরে)","あそこ (Asoko)

Literal meaning: “সেখানে / ওই জায়গা (দূরে)”.

Usage: দুজনের থেকেই দূরের জায়গা বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
あそこ は びょういん です。→ ওখানে হাসপাতাল।
えき は あそこ です。→ স্টেশন ওখানে।

👉 Think of it as: “ওখানে (দূরে)।”"
"どこ","কোথায় / কোন জায়গা?","どこ (Doko)

Literal meaning: “কোথায় / কোন জায়গা?”.

Usage: কোথায় জিজ্ঞাসা করতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
トイレ は どこ ですか。→ টয়লেট কোথায়?
だいがく は どこ ですか。→ বিশ্ববিদ্যালয় কোথায়?

👉 Think of it as: “কোথায়?”"
"こちら","এই দিক / এখানে (ভদ্র)","こちら (Kochira)

Literal meaning: “এই দিক / এখানে (ভদ্র)”.

Usage: ভদ্রভাবে ‘এই দিক / এইজন’।

Politeness: Neutral.

Examples:
こちら は たなかさん です。→ উনি তানাকা সান।
レジ は こちら です。→ ক্যাশিয়ার এইদিকে।

👉 Think of it as: “এইদিকে (ভদ্র)।”"
"そちら","ওই দিক / সেখানে (ভদ্র)","そちら (Sochira)

Literal meaning: “ওই দিক / সেখানে (ভদ্র)”.

Usage: ভদ্রভাবে ‘ওই দিক / ওইজন (তোমার কাছে)’।

Politeness: Neutral.

Examples:
そちら は だれ ですか。→ উনি কে (আপনার পাশে)?
へや は そちら です。→ রুম ওইদিকে।

👉 Think of it as: “ওইদিকে (ভদ্র, তোমার কাছে)।”"
"あちら","সেই দিক / ওখানে (ভদ্র)","あちら (Achira)

Literal meaning: “সেই দিক / ওখানে (ভদ্র)”.

Usage: ভদ্রভাবে ‘ওই দিক / ওইজন (দূরে)’।

Politeness: Neutral.

Examples:
あちら は かいぎしつ です。→ ওটা মিটিং রুম।
でぐち は あちら です。→ এক্সিট ওখানে।

👉 Think of it as: “ওখানে (ভদ্র, দূরে)।”"
"どちら","কোন দিক / কোথায় (ভদ্র)","どちら (Dochira)

Literal meaning: “কোন দিক / কোথায় (ভদ্র)”.

Usage: ভদ্রভাবে ‘কোন দিক / কে / কোথায়’।

Politeness: Neutral.

Examples:
だいがく は どちら ですか。→ বিশ্ববিদ্যালয় কোথায় (ভদ্র)?
おくには どちら ですか。→ আপনি কোন দেশ থেকে এসেছেন?

👉 Think of it as: “কোথায় / কোনটা (ভদ্র)।”"
"きょうしつ","ক্লাসরুম","きょうしつ (Kyoushitsu)

Literal meaning: “ক্লাসরুম”.

Usage: একটি ক্লাসরুম বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
きょうしつ です。→ এটি ক্লাসরুম।
ここ は きょうしつ です。→ এখানে ক্লাসরুম।

👉 Think of it as: “ক্লাসরুম।”"
