"おきます","উঠি / ঘুম থেকে উঠি","おきます (Okimasu)

Literal meaning: “উঠি / ঘুম থেকে উঠি”.

Usage: একটি উঠি / ঘুম থেকে উঠি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
おきます です。→ এটি উঠি / ঘুম থেকে উঠি।
ここ は おきます です。→ এখানে উঠি / ঘুম থেকে উঠি।

👉 Think of it as: “উঠি / ঘুম থেকে উঠি।”"
"ねます","ঘুমাই / শুতে যাই","ねます (Nemasu)

Literal meaning: “ঘুমাই / শুতে যাই”.

Usage: একটি ঘুমাই / শুতে যাই বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ねます です。→ এটি ঘুমাই / শুতে যাই।
ここ は ねます です。→ এখানে ঘুমাই / শুতে যাই।

👉 Think of it as: “ঘুমাই / শুতে যাই।”"
"はたらきます","কাজ করি","はたらきます (Hatarakimasu)

Literal meaning: “কাজ করি”.

Usage: একটি কাজ করি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
はたらきます です。→ এটি কাজ করি।
ここ は はたらきます です。→ এখানে কাজ করি।

👉 Think of it as: “কাজ করি।”"
"やすみます","বিশ্রাম নেই / ছুটি নেই","やすみます (Yasumimasu)

Literal meaning: “বিশ্রাম নেই / ছুটি নেই”.

Usage: একটি বিশ্রাম নেই / ছুটি নেই বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
やすみます です。→ এটি বিশ্রাম নেই / ছুটি নেই।
ここ は やすみます です。→ এখানে বিশ্রাম নেই / ছুটি নেই।

👉 Think of it as: “বিশ্রাম নেই / ছুটি নেই।”"
"べんきょうします","পড়াশোনা করি","べんきょうします (Benkyoushimasu)

Literal meaning: “পড়াশোনা করি”.

Usage: একটি পড়াশোনা করি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
べんきょうします です。→ এটি পড়াশোনা করি।
ここ は べんきょうします です。→ এখানে পড়াশোনা করি।

👉 Think of it as: “পড়াশোনা করি।”"
"おわります","শেষ করি","おわります (Owarimasu)

Literal meaning: “শেষ করি”.

Usage: একটি শেষ করি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
おわります です。→ এটি শেষ করি।
ここ は おわります です。→ এখানে শেষ করি।

👉 Think of it as: “শেষ করি।”"
"デパート","ডিপার্টমেন্ট স্টোর","デパート (Depaato)

Literal meaning: “ডিপার্টমেন্ট স্টোর”.

Usage: একটি ডিপার্টমেন্ট স্টোর বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
デパート です。→ এটি ডিপার্টমেন্ট স্টোর।
ここ は デパート です。→ এখানে ডিপার্টমেন্ট স্টোর।

👉 Think of it as: “ডিপার্টমেন্ট স্টোর।”"
"ぎんこう","ব্যাংক","ぎんこう (Ginkou)

Literal meaning: “ব্যাংক”.

Usage: একটি ব্যাংক বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ぎんこう です。→ এটি ব্যাংক।
ここ は ぎんこう です。→ এখানে ব্যাংক।

👉 Think of it as: “ব্যাংক।”"
"ゆうびんきょく","ডাকঘর","ゆうびんきょく (Yuubinkyoku)

Literal meaning: “ডাকঘর”.

Usage: একটি ডাকঘর বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ゆうびんきょく です。→ এটি ডাকঘর।
ここ は ゆうびんきょく です。→ এখানে ডাকঘর।

👉 Think of it as: “ডাকঘর।”"
"としょかん","লাইব্রেরি","としょかん (Toshokan)

Literal meaning: “লাইব্রেরি”.

Usage: একটি লাইব্রেরি বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
としょかん です。→ এটি লাইব্রেরি।
ここ は としょかん です。→ এখানে লাইব্রেরি।

👉 Think of it as: “লাইব্রেরি।”"
"びじゅつかん","শিল্পকলা জাদুঘর","びじゅつかん (Bijutsukan)

Literal meaning: “শিল্পকলা জাদুঘর”.

Usage: একটি শিল্পকলা জাদুঘর বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
びじゅつかん です。→ এটি শিল্পকলা জাদুঘর।
ここ は びじゅつかん です。→ এখানে শিল্পকলা জাদুঘর।

👉 Think of it as: “শিল্পকলা জাদুঘর।”"
"いま","এখন","いま (Ima)

Literal meaning: “এখন”.

Usage: একটি এখন বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
いま です。→ এটি এখন।
ここ は いま です。→ এখানে এখন।

👉 Think of it as: “এখন।”"
"～じ","...টা বাজে","～じ (Ji)

Literal meaning: “...টা বাজে”.

Usage: একটি ...টা বাজে বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
～じ です。→ এটি ...টা বাজে।
ここ は ～じ です。→ এখানে ...টা বাজে।

👉 Think of it as: “...টা বাজে।”"
"～ふん／ぷん","...মিনিট","～ふん／ぷん (Fun/pun)

Literal meaning: “...মিনিট”.

Usage: একটি ...মিনিট বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
～ふん／ぷん です。→ এটি ...মিনিট।
ここ は ～ふん／ぷん です。→ এখানে ...মিনিট।

👉 Think of it as: “...মিনিট।”"
"はん","সাড়ে ...টা","はん (Han)

Literal meaning: “সাড়ে ...টা”.

Usage: একটি সাড়ে ...টা বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
はん です。→ এটি সাড়ে ...টা।
ここ は はん です。→ এখানে সাড়ে ...টা।

👉 Think of it as: “সাড়ে ...টা।”"
"なんじ","কটা বাজে?","なんじ (Nanji)

Literal meaning: “কটা বাজে?”.

Usage: একটি কটা বাজে? বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
なんじ です。→ এটি কটা বাজে?।
ここ は なんじ です。→ এখানে কটা বাজে?।

👉 Think of it as: “কটা বাজে?।”"
"なんふん","কত মিনিট?","なんふん (Nanpun)

Literal meaning: “কত মিনিট?”.

Usage: একটি কত মিনিট? বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
なんふん です。→ এটি কত মিনিট?।
ここ は なんふん です。→ এখানে কত মিনিট?।

👉 Think of it as: “কত মিনিট?।”"
"ごぜん","সকাল / পূর্বাহ্ন","ごぜん (Gozen)

Literal meaning: “সকাল / পূর্বাহ্ন”.

Usage: একটি সকাল / পূর্বাহ্ন বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ごぜん です。→ এটি সকাল / পূর্বাহ্ন।
ここ は ごぜん です。→ এখানে সকাল / পূর্বাহ্ন।

👉 Think of it as: “সকাল / পূর্বাহ্ন।”"
"ごご","বিকাল / অপরাহ্ন","ごご (Gogo)

Literal meaning: “বিকাল / অপরাহ্ন”.

Usage: একটি বিকাল / অপরাহ্ন বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ごご です。→ এটি বিকাল / অপরাহ্ন।
ここ は ごご です。→ এখানে বিকাল / অপরাহ্ন।

👉 Think of it as: “বিকাল / অপরাহ্ন।”"
"あさ","সকাল","あさ (Asa)

Literal meaning: “সকাল”.

Usage: একটি সকাল বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
あさ です。→ এটি সকাল।
ここ は あさ です。→ এখানে সকাল।

👉 Think of it as: “সকাল।”"
"ひる","দুপুর","ひる (Hiru)

Literal meaning: “দুপুর”.

Usage: একটি দুপুর বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ひる です。→ এটি দুপুর।
ここ は ひる です。→ এখানে দুপুর।

👉 Think of it as: “দুপুর।”"
"ばん（よる）","রাত / সন্ধ্যা","ばん（よる） (Ban (yoru))

Literal meaning: “রাত / সন্ধ্যা”.

Usage: একটি রাত / সন্ধ্যা বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
ばん（よる） です。→ এটি রাত / সন্ধ্যা।
ここ は ばん（よる） です。→ এখানে রাত / সন্ধ্যা।

👉 Think of it as: “রাত / সন্ধ্যা।”"
"おととい","পরশুদিন","おととい (Ototoi)

Literal meaning: “পরশুদিন”.

Usage: একটি পরশুদিন বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
おととい です。→ এটি পরশুদিন।
ここ は おととい です。→ এখানে পরশুদিন।

👉 Think of it as: “পরশুদিন।”"
"きのう","গতকাল","きのう (Kinou)

Literal meaning: “গতকাল”.

Usage: একটি গতকাল বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
きのう です。→ এটি গতকাল।
ここ は きのう です。→ এখানে গতকাল।

👉 Think of it as: “গতকাল।”"
"きょう","আজ","きょう (Kyou)

Literal meaning: “আজ”.

Usage: একটি আজ বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
きょう です。→ এটি আজ।
ここ は きょう です。→ এখানে আজ।

👉 Think of it as: “আজ।”"
"あした","আগামীকাল","あした (Ashita)

Literal meaning: “আগামীকাল”.

Usage: একটি আগামীকাল বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
あした です。→ এটি আগামীকাল।
ここ は あした です。→ এখানে আগামীকাল।

👉 Think of it as: “আগামীকাল।”"
"あさって","আগামী পরশু","あさって (Asatte)

Literal meaning: “আগামী পরশু”.

Usage: একটি আগামী পরশু বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
あさって です。→ এটি আগামী পরশু।
ここ は あさって です。→ এখানে আগামী পরশু।

👉 Think of it as: “আগামী পরশু।”"
"けさ","আজ সকাল","けさ (Kesa)

Literal meaning: “আজ সকাল”.

Usage: একটি আজ সকাল বোঝাতে ব্যবহৃত হয়।

Politeness: Neutral.

Examples:
けさ です。→ এটি আজ সকাল।
ここ は けさ です。→ এখানে আজ সকাল।

👉 Think of it as: “আজ সকাল।”"
