わたし,I,"わたし (Watashi)

Literal meaning: “I / me.”

Usage: A first-person pronoun used to refer to oneself. Common in polite or neutral situations, regardless of gender, though men often switch to alternatives like ぼく or おれ in casual speech.

Politeness: Polite and neutral. Safe to use in both formal and informal contexts, especially for women.

Examples:
1. わたし は がくせい です。→ I am a student.
2. わたし の なまえ は さとう です。→ My name is Satō.

👉 Think of it as: “I” (polite/neutral self-reference)."

わたしたち,we,"わたしたち (Watashitachi)

Literal meaning: “We / us.”

Usage: Plural form of わたし. Used to refer to a group including the speaker. Neutral and polite.

Politeness: Polite and gender-neutral, safe for formal contexts.

Examples:
1. わたしたち は かいしゃいん です。→ We are company employees.
2. わたしたち の だいがく は おおきい です。→ Our university is big.

👉 Think of it as: “We” (neutral/polite group self-reference)."

あなた,you,"あなた (Anta)

Literal meaning: “You.”

Usage: Informal second-person pronoun. Often used among close friends, couples, or when addressing someone below you in status. Can sound blunt or affectionate depending on tone.

Politeness: Casual, sometimes rude if used in the wrong context.

Examples:
1. あなた は どこ から きました か。→ Where are you from?
2. あなた は がくせい？→ Are you a student?

👉 Think of it as: “You” (casual, can be affectionate or rude)."

あのひと,"that person, he, she","あのひと (Ano hito)

Literal meaning: “That person.”

Usage: Refers to a person away from both speaker and listener. Can mean “he” or “she” in context.

Politeness: Neutral, casual. Not rude, but not highly polite either.

Examples:
1. あのひと は せんせい です。→ That person is a teacher.
2. あのひと は にほんじん です。→ That person is Japanese.

👉 Think of it as: “That person / he / she” (neutral reference)."

あのかた,"that person (polite)","あのかた (Ano kata)

Literal meaning: “That person” (respectful).

Usage: Polite alternative to あのひと when referring to someone respectfully.

Politeness: Polite and respectful. Suitable in business or formal settings.

Examples:
1. あのかた は いしゃ です。→ That person is a doctor.
2. あのかた は どなた ですか。→ Who is that (respectful)?

👉 Think of it as: “That person” (polite and respectful)."

みなさん,"ladies and gentlemen, all of you","みなさん (Minasan)

Literal meaning: “Everyone / all of you.”

Usage: Used to address a group politely. Common in greetings, announcements, or when speaking to an audience.

Politeness: Polite and inclusive.

Examples:
1. みなさん、こんにちは。→ Hello, everyone.
2. みなさん は がくせい ですか。→ Are you all students?

👉 Think of it as: “Everyone” (polite group address)."

～さん,"Mr./Ms.","～さん (~san)

Literal meaning: A respectful suffix added to names.

Usage: Most common honorific. Used after someone’s family name or given name.

Politeness: Neutral-polite. Safe for most situations.

Examples:
1. たなかさん は せんせい です。→ Mr. Tanaka is a teacher.
2. さとうさん、こんにちは。→ Hello, Ms. Satō.

👉 Think of it as: “Mr./Ms.” polite default suffix."

～ちゃん,"suffix for children","～ちゃん (~chan)

Literal meaning: Cute/familiar suffix.

Usage: Added to children’s names, pets, or close friends to sound affectionate.

Politeness: Casual, intimate, affectionate.

Examples:
1. さくらちゃん は がくせい です。→ Sakura (dear) is a student.
2. ねこちゃん が います。→ There is a kitty.

👉 Think of it as: “Cute / familiar name suffix.”"

～くん,"suffix for boys","～くん (~kun)

Literal meaning: Informal suffix, often for boys.

Usage: Used for male friends, classmates, or subordinates. Sometimes also for females in casual settings.

Politeness: Friendly, casual, less formal than ～さん.

Examples:
1. たなかくん は がくせい です。→ Tanaka-kun is a student.
2. いとうくん、こちらです。→ Itō-kun, this way.

👉 Think of it as: “-kun” (casual/familiar suffix)."

～じん,"a national of","～じん (~jin)

Literal meaning: “Person of (a country).”

Usage: Added to a country name to show nationality.

Politeness: Neutral.

Examples:
1. にほんじん → Japanese person.
2. アメリカじん → American person.

👉 Think of it as: “-ian/-ese” (nationality suffix)."

