question,answer
たなかさん　＿＿＿　１０じ　＿＿＿　えき　＿＿＿　はたらきます。,は、に、で
わたし　＿＿＿　ごご よじはん　＿＿＿　だいがく　＿＿＿　はたらきます。,は、に、で
わたし　＿＿＿　ごご さんじ　＿＿＿　しょくどう　＿＿＿　いきます。,は、に、へ
あなた　＿＿＿　７じ　＿＿＿　だいがく　＿＿＿　べんきょうします。,は、に、で
さとうさん　＿＿＿　８じ　＿＿＿　だいがく　＿＿＿　いきます。,は、に、へ
さとうさん　＿＿＿　ごご よじはん　＿＿＿　だいがく　＿＿＿　はたらきます。,は、に、で
わたし　＿＿＿　ごぜん ９じ　＿＿＿　えき　＿＿＿　はたらきます。,は、に、で
わたし　＿＿＿　ごご さんじ　＿＿＿　としょかん　＿＿＿　べんきょうします。,は、に、で
わたし　＿＿＿　７じ　＿＿＿　えき　＿＿＿　はたらきます。,は、に、で
あなた　＿＿＿　１０じ　＿＿＿　しょくどう　＿＿＿　いきます。,は、に、へ
わたし　＿＿＿　９じ　＿＿＿　としょかん　＿＿＿　はたらきます。,は、に、で
あなた　＿＿＿　ごご さんじ　＿＿＿　だいがく　＿＿＿　はたらきます。,は、に、で
あなた　＿＿＿　７じ　＿＿＿　しょくどう　＿＿＿　はたらきます。,は、に、で
わたし　＿＿＿　７じ　＿＿＿　としょかん　＿＿＿　はたらきます。,は、に、で
あなた　＿＿＿　ごぜん ９じ　＿＿＿　きょうしつ　＿＿＿　はたらきます。,は、に、で
さとうさん　＿＿＿　９じ　＿＿＿　スーパー　＿＿＿　べんきょうします。,は、に、で
さとうさん　＿＿＿　９じ　＿＿＿　しょくどう　＿＿＿　いきます。,は、に、へ
あなた　＿＿＿　ごご よじはん　＿＿＿　こうえん　＿＿＿　いきます。,は、に、へ
わたし　＿＿＿　９じ　＿＿＿　としょかん　＿＿＿　はたらきます。,は、に、で
さとうさん　＿＿＿　ごぜん ９じ　＿＿＿　しょくどう　＿＿＿　べんきょうします。,は、に、で
たなかさん　＿＿＿　７じ　＿＿＿　としょかん　＿＿＿　いきます。,は、に、へ
さとうさん　＿＿＿　ごご よじはん　＿＿＿　えき　＿＿＿　べんきょうします。,は、に、で
あなた　＿＿＿　１０じ　＿＿＿　きょうしつ　＿＿＿　いきます。,は、に、へ
わたし　＿＿＿　ごご さんじ　＿＿＿　スーパー　＿＿＿　はたらきます。,は、に、で
たなかさん　＿＿＿　ごぜん ９じ　＿＿＿　しょくどう　＿＿＿　べんきょうします。,は、に、で
さとうさん　＿＿＿　１０じ　＿＿＿　スーパー　＿＿＿　えいが　＿＿＿　たべます。,は、に、で、を
わたし　＿＿＿　ごぜん ９じ　＿＿＿　きょうしつ　＿＿＿　コーヒー　＿＿＿　たべます。,は、に、で、を
わたし　＿＿＿　９じ　＿＿＿　こうえん　＿＿＿　ほん　＿＿＿　かいます。,は、に、で、を
たなかさん　＿＿＿　ごぜん ９じ　＿＿＿　きょうしつ　＿＿＿　ほん　＿＿＿　みます。,は、に、で、を
わたし　＿＿＿　８じ　＿＿＿　しょくどう　＿＿＿　みず　＿＿＿　たべます。,は、に、で、を
