আমি ছাত্র।,わたし は がくせい です。
আমি ডাক্তার।,わたし は いしゃ です。
সে ইঞ্জিনিয়ার।,あのひと は エンジニア です。
আপনি শিক্ষক।,あなた は せんせい です。
মিনা-সান ছাত্র।,みなさん は がくせい です。
কোম্পানির কর্মচারী।,しゃいん は かいしゃいん です。
ওই ভদ্রলোক শিক্ষক।,あのかた は きょうし です。
করিম ব্যাংকার।,コリムさん は ぎんこういん です。
আমরা গবেষক।,わたしたち は けんきゅうしゃ です。
তুমি ছাত্র।,あんた は がくせい です。
আমি ছাত্র নই।,わたし は がくせい じゃありません。
সে ডাক্তার নয়।,あのひと は いしゃ じゃありません。
আপনি শিক্ষক নন।,あなた は せんせい じゃありません。
মিনা-সান ইঞ্জিনিয়ার নয়।,みなさん は エンジニア じゃありません。
ওই ভদ্রলোক কর্মচারী নন।,あのかた は しゃいん じゃありません。
আপনি কি ছাত্র?,あなた は がくせい ですか。
আপনি কি ডাক্তার?,あなた は いしゃ ですか。
সে কি শিক্ষক?,あのひと は せんせい ですか。
আপনার নাম কী?,あなた の おなまえは なん ですか。
আপনার বয়স কত?,あなた は なんさい ですか。
"আমি ছাত্র, সেও ছাত্র।",わたし は がくせい です、あのひと も がくせい です。
"আমি ডাক্তার, মিনাও ডাক্তার।",わたし は いしゃ です、みなさん も いしゃ です。
"সে কর্মচারী, সেও কর্মচারী।",あのひと は しゃいん です、あのかた も しゃいん です。
"করিম ব্যাংকার, সেও ব্যাংকার।",コリムさん は ぎんこういん です、みなさん も ぎんこういん です。
"আমি গবেষক, তুমিও গবেষক।",わたし は けんきゅうしゃ です、あんた も けんきゅうしゃ です。
এটা আমার বই।,わたし の ほん です。
এটা আমার বিশ্ববিদ্যালয়।,わたし の だいがく です。
এটা আপনার হাসপাতাল।,あなた の びょういん です。
এটা আপনার বিদ্যুৎ কোম্পানি।,あなた の でんき です。
এটা করিম-সানের নাম।,コリムさん の おなまえ です。
