এখন ক'টা বাজে?,いまなんじですか。
এখন বিকাল ৪টা বেজে ২০ মিনিট।,いまごごよじにじゅっぷんです。
আমি প্রতিদিন সকাল ৬ টায় উঠি।,わたしはまいにちあさろくじにおきます。
আমি রাত ১১টায় ঘুমাই।,わたしはごごじゅういちじにねます。
আপনি প্রতিদিন কাজ করেন?,あなたはまいにちはたらきますか。
"না, আমি শনি ও রবিবার বিশ্রাম নিই।",いいえ、どようびとにちようびにやすみます。
গতকাল আপনি পড়াশোনা করেছেন?,きのうあなたはべんきょうしましたか。
"হ্যাঁ, গতকাল পড়াশোনা করেছি।",はい、きのうべんきょうしました。
কখন কাজ শেষ হয়?,いつおわりますか。
বিভাগীয় দোকানটি রাত ৮টায় বন্ধ হয়।,デパートはばんはちじにおわります。
ব্যাংক সকাল ১০টা থেকে বিকাল ৪টা পর্যন্ত খোলা।,ぎんこうはごぜんじゅうじからごごよじまでです。
ডাকঘর এবং গ্রন্থাগার কি ছুটি?,ゆうびんきょくととしょかんはやすみですか。
"না, শিল্পকলা জাদুঘরটি ছুটি।",いいえ、びじゅつかんはやすみです。
এখন সকাল ৯টা বেজে ৩০ মিনিট।,いまごぜんくじはんです。
দুপুরের খাবারের বিরতি কখন?,ひるやすみはなんじからですか。
দুপুরের খাবারের বিরতি দুপুর ১২টা থেকে।,ひるやすみはひるじゅうにじからです。
গত পরশু আমি কাজ করিনি।,おとといはたらきませんでした。
আগামীকাল আমি কাজ করবো।,あしたはたらきます。
আগামী পরশু কি ছুটি?,あさってはやすみですか。
আজ সকালে আমি ৭টায় উঠেছি।,けさしちじにおきました。
আজ রাতে কি পড়াশোনা করবেন?,こんばんべんきょうしますか。
আমি প্রতিদিন সকালে কাজ করি।,わたしはまいあさはたらきます。
আমি প্রতি সন্ধ্যায় পড়াশোনা করি।,わたしはまいばんべんきょうします。
আজ কি বার?,きょうはなんようびですか。
আজ মঙ্গলবার।,きょうはかようびです。
আপনার অফিসের ফোন নম্বর কত?,そちらのかいしゃのばんごうはなんばんですか。
"আপনার জায়গাটি大変ですね (কষ্টকর), তাই না?",そちらはたいへんですね。
একটু ভাবছি...,えーと。
দয়া করে (বলুন)।,おねがいします。
অবশ্যই। আপনার জিজ্ঞাসিত নম্বরটি হলো...,かしこまりました。おといあわせのばんごうは。。。です。
