ওই ব্যক্তি কি আপনার বিশ্ববিদ্যালয়ের শিক্ষক নাকি ছাত্র?,あのかたはあなたのだいがくのせんせいですか、がくせいですか。  
"এই পেন্সিলের দাম ১০০ ইয়েন, আর ওই কলমের দাম ১০০০ ইয়েন?",このえんぴつはひゃくえんです、そしてあのボールペンはせんえんです。  
"মাফ করবেন, ওই ভদ্রলোক কি জাপানি ভাষার শিক্ষক?",しつれいですが、あのかたはにほんごのせんせいですか。  
এই কম্পিউটার কি আমাদের মিটিং রুমে নাকি ক্লাসরুমে?,このコンピューターはわたしたちのかいぎしつですか、きょうしつですか。  
ওই এস্কেলেটর কি ৭ তলায় নাকি ৮ তলায়?,あのエスカレーターはななかいですか、はちかいですか。  
"এই বই কি জাপানি, ইংরেজি নাকি জার্মান?",このほんはにほんごですか、えいごですか、ドイツごですか。  
এই স্যুটকেসটা কার? এটা কি ওই ব্যাংক কর্মচারীর?,このかばんはだれのですか。それはあのぎんこういんのですか。  
ওই বই কি আপনার নতুন বই নাকি পুরনো বই?,あのほんはあなたのあたらしいほんですか、それともふるいほんですか。  
এই চাবি কি আমার বাড়ির বা অফিসের চাবি নয়?,このかぎはわたしのうちのかぎでも、かいしゃのかぎでもありません。  
"এই ক্যামেরা কি খুব দামি? এর দাম কি ২০,০০০ ইয়েন?",このカメラはとても高いですか。これはにまんえんですか。  
সে কি আপনার অফিসের ব্যাংক কর্মচারী?,かれはあなたのかいしゃのぎんこういんですか。  
"হ্যাঁ, সে আমাদের কোম্পানির ব্যাংক কর্মচারী",はい、かれはわたしたちのかいしゃのぎんこういんです。  
"না, সে আমাদের কোম্পানির ব্যাংক কর্মচারী নয়",いいえ、かれはわたしたちのかいしゃのぎんこういんじゃありません。  
এই ক্যামেরা কি মিনার নাকি রহিমের?,このカメラはミナさんのですか、ロヒムさんのですか。  
এই গাড়ি কি খুব দামি?,このじどうしゃはとても高いですか。  
"না, এই গাড়ি এতটা দামি নয়",いいえ、このじどうしゃはそれほど高くありません。  
ওই লবি কি আপনার কোম্পানির নাকি অন্য কোনো কোম্পানির?,あのロビーはあなたのかいしゃのですか、それともべつのかいしゃのですか。  
ওই চশমা কার?,あのめがねはだれのですか。  
ওই মহিলা কি শিক্ষক নাকি গবেষক?,あのかたはせんせいですか、けんきゅうしゃですか。  
ওইটা কি টেলিফোন নাকি টেলিভিশন?,あれはでんわですか、テレビですか。  
ওইটা কি হাসপাতাল নাকি অফিস?,あれはびょういんですか、それともじむしょですか。  
এই বই কি নতুন নাকি পুরনো?,これはあたらしいほんですか、ふるいほんですか。  
এটা কি আমার চাবি নাকি আপনার চাবি?,これはわたしのかぎですか、あなたのかぎですか。  
আমার গাড়ি কি এখানে নাকি ওখানে?,わたしのじどうしゃはここですか、そこですか。  
এই চশমার দাম কত?,このめがねはいくらですか。  
ওই ব্যাগ কি আমাদের ক্লাসের ছাত্রের?,あれはわたしたちのクラスのがくせいのかばんですか。  
"এই ঘড়ি কি আপনার, নাকি ওই ঘড়ি আপনার?",このとけいはあなたのですか、それともあのとけいはあなたのですか。  
ওই ব্যক্তি কি মিনার বাবা?,あのひとはミナさんのおとうさんですか。  
ওইটা কি এলিভেটর নাকি এস্কেলেটর?,あれはエレベーターですか、エスカレーターですか。  
ওই ব্যক্তি কি রহিম সানের ছাত্র?,あのひとはロヒムさんのがくせいですか。  
এই নোটবুক কি আপনার নাকি আপনার বন্ধুর?,このノートはあなたのですか、それともあなたのともだちのですか。  
এই ব্যাগটা কি আপনার অফিসের?,このかばんはあなたのじむしょのですか。  
ওই ঘড়ি কি বাংলাদেশের ছাত্রের?,そのとけいはバングラデシュのがくせいのですか。  
ঐ চেয়ার কি হাসপাতালের না বিশ্ববিদ্যালয়ের?,あのいすはびょういんのですか、だいがくのですか。  
এই নোটবুক কি আপনার শিক্ষকের?,このノートはあなたのせんせいのですか。  
ঐ কম্পিউটার কি আমাদের কোম্পানির ছিল?,あのコンピューターはわたしたちのかいしゃのでしたか。  
এই রুম কি করিমের?,このへやはカリムさんのですか。  
ওই অভিধান কি জাপানি ভাষার ছাত্রের?,そのじしょはにほんごのがくせいのですか。  
ঐ গাড়ি কি হাসপাতালের না ব্যাংকের?,あのじどうしゃはびょういんのですか、ぎんこうのですか。  
এই চেয়ার কি নতুন?,このいすはあたらしいですか。  
ওই ব্যাগ কি পুরনো?,そのかばんはふるいですか。  
এই ফোন কি আমাদের অফিসের?,このでんわはわたしたちのじむしょのですか。  
ঐ ক্যামেরা কি ইঞ্জিনিয়ারের?,あのカメラはエンジニアのですか。  
এই চাবি কি আপনার বিশ্ববিদ্যালয়ের?,このかぎはあなたのだいがくのですか。  
ওই ছাতা কি শিক্ষকের?,そのかさはせんせいのですか。  
এই চেয়ার আমার না আপনার?,このいすはわたしのですか、あなたのですか。  
ঐ ঘড়ি কি নতুন ছাত্রের?,あのとけいはあたらしいがくせいのですか。  
এই রুমে কি টয়লেট আছে?,このへやにトイレがありますか。  
ওই লবি কোথায়?,そのロビーはどこですか。  
ঐ হাসপাতাল কোনদিকে?,あのびょういんはどちらですか。  
