おはようございます,good morning,ohayou gozaimasu
どうぞ,"please (go ahead)",douzo
みんな,"everyone (informal mina-san)",minna
ごめんなさい,"I'm sorry (apology)",gomennasai
えいご,"English (language)",Eigo
ちゅうごく,China,Chuugoku
よる,night,yoru
～さん,"(honorific suffix) Mr./Ms.",～san
アメリカ,"America (USA)",Amerika
はじめまして,"nice to meet you (for the first time)",hajimemashite
かれ,"he; him",kare
ありがとうございます,"thank you (very much)",arigatou gozaimasu
ひる,"daytime/noon",hiru
にほんご,"Japanese (language)",Nihongo
にほん,Japan,Nihon
あなた,you,anata
なまえ,name,namae
こんばんは,good evening,konbanwa
はい,yes,hai
よろしくおねがいします,"pleased to meet you; please treat me kindly",yoroshiku onegaishimasu
さようなら,goodbye,sayounara
あさ,morning,asa
こんにちは,"hello/good afternoon",konnichiwa
わたしたち,"we; us",watashitachi
ひと,person,hito
わたし,"I; me",watashi
かのじょ,"she; her",kanojo
いいえ,no,iie
げんき,"healthy; well; fine",genki
すみません,"excuse me; I'm sorry (polite)",sumimasen
私,"private (わたし: I, me)",shi
人,"person, human (ひと)",jin
名,"name (な, e.g. 名前【なまえ】name)",mei
何,"what (なに/なん)",ka
