くるま,car,kuruma
じてんしゃ,bicycle,jitensha
ひこうき,airplane,hikouki
でんしゃ,train,densha
ちかてつ,subway,chikatetsu
バス,bus,basu
バイク,"motorcycle; motorbike",baiku
タクシー,taxi,takushii
ふね,"ship; boat",fune
きっぷ,ticket,kippu
ちず,map,chizu
りょこう,"travel; trip",ryokou
くうこう,airport,kuukou
のる,"to get on; ride",noru
おりる,to get off,oriru
まつ,to wait,matsu
たつ,to stand,tatsu
すわる,to sit,suwaru
とぶ,to fly,tobu
とまる,to stop,tomaru
まがる,to turn,magaru
むこう,"over there; beyond",mukou
まち,"town; city",machi
やすみ,"holiday; day off",yasumi
やすむ,"to rest; take a break",yasumu
あつい,"hot (weather)",atsui
さむい,"cold (weather)",samui
はしる,to run,hashiru
あるく,to walk,aruku
つく,to arrive,tsuku
明,"bright (あか-るい)",mei
休,"rest (やす-む)",kyuu
好,"like; pleasing (す-き)",kou
男,"man; male (おとこ)",dan
