てんき,weather,tenki
あめ,rain,ame
かぜ,wind,kaze
ゆき,snow,yuki
はれ,"sunny (clear weather)",hare
くもり,cloudy,kumori
そら,sky,sora
やま,mountain,yama
うみ,"sea; ocean",umi
かわ,river,kawa
いけ,pond,ike
どうぶつ,animal,doubutsu
いぬ,dog,inu
ねこ,cat,neko
とり,bird,tori
うま,horse,uma
うし,cow,ushi
き,"tree; wood",ki
はな,flower,hana
つき,moon,tsuki
ほし,star,hoshi
せかい,world,sekai
もり,forest,mori
はやし,"woods; grove",hayashi
いわ,rock,iwa
いし,stone,ishi
あたたかい,"warm (weather)",atatakai
すずしい,"cool (weather)",suzushii
あつい,"hot (to the touch)",atsui
つめたい,"cold (to the touch)",tsumetai
間,"interval; between (あいだ)",kan
岩,"rock (いわ)",gan
畑,"field; farm (はたけ)",hata
森,"forest (もり)",shin
