からだ,body,karada
あたま,head,atama
かお,face,kao
め,eye,me
みみ,ear,mimi
はな,nose,hana
くち,mouth,kuchi
は,tooth,ha
おなか,stomach,onaka
て,hand,te
あし,"leg; foot",ashi
せ,"height; stature",se
かみ,hair,kami
のど,throat,nodo
こえ,voice,koe
かぜ,"a cold (illness)",kaze
くすり,medicine,kusuri
びょういん,hospital,byouin
いしゃ,doctor,isha
かんごし,nurse,kangoshi
びょうき,"illness; sickness",byouki
いたい,"painful; hurt",itai
しぬ,to die,shinu
つかれる,to get tired,tsukareru
けが,injury,kega
ねつ,fever,netsu
ねむい,sleepy,nemui
だいじょうぶ,"okay; all right",daijoubu
おだいじに,"get well soon (to someone ill)",odaiji ni
きをつけて,"take care; be careful",ki wo tsukete
林,"woods; grove (はやし)",rin
右,"right (みぎ)",u
左,"left (ひだり)",sa
東,"east (ひがし)",tou
