おんがく,music,ongaku
うた,song,uta
え,"picture; drawing",e
しゃしん,photograph,shashin
さんぽ,"stroll; walk",sanpo
スポーツ,sports,supootsu
パーティー,party,paatii
ニュース,news,nyuusu
えいが,movie,eiga
ゲーム,game,geemu
カラオケ,karaoke,karaoke
ジョギング,jogging,jogingu
ゴルフ,golf,gorufu
つり,fishing,tsuri
スキー,skiing,sukii
しゅみ,hobby,shumi
サッカー,soccer,sakkaa
テニス,tennis,tenisu
やきゅう,baseball,yakyuu
りょうり,"cooking; cuisine",ryouri
どくしょ,"reading (as a hobby)",dokusho
まつり,festival,matsuri
うんどう,exercise,undou
たのしい,"fun; enjoyable",tanoshii
おもしろい,"interesting; amusing",omoshiroi
ひま,free time,hima
マンガ,"comic; manga",manga
びじゅつ,"art; fine arts",bijutsu
およぐ,to swim,oyogu
うたう,to sing,utau
西,"west (にし)",sei
北,"north (きた)",hoku
南,"south (みなみ)",nan
外,"outside (そと)",gai
