ある,"to exist (inanimate); have",aru
いる,"to exist (animate); be (someone is…)",iru
はしる,to run,hashiru
あるく,to walk,aruku
のる,"to get on; ride",noru
おりる,to get off,oriru
まつ,to wait,matsu
たつ,to stand,tatsu
すわる,to sit,suwaru
とぶ,to fly,tobu
とまる,"to stop (moving)",tomaru
まがる,to turn,magaru
あげる,"to give (to someone)",ageru
もらう,to receive,morau
てつだう,"to help; assist",tetsudau
わすれる,to forget,wasureru
おぼえる,"to remember; memorize",oboeru
いれる,"to put in; insert",ireru
かす,to lend,kasu
かりる,to borrow,kariru
けす,"to turn off; erase",kesu
しる,to know,shiru
すう,"to inhale; smoke",suu
すむ,"to live (reside)",sumu
だす,"to take out; submit",dasu
つける,to turn on,tsukeru
なる,to become,naru
はく,"to put on (clothes below waist)",haku
ひく,"to play (an instrument)",hiku
よぶ,"to call; invite",yobu
見,"to see; look (み-る)",ken
聞,"to hear; listen; ask (き-く)",bun/mon
読,"to read (よ-む)",doku
書,"to write (か-く)",sho
