うえ,"above; on; up",ue
した,"below; under; down",shita
ひだり,left,hidari
みぎ,right,migi
まえ,"front; before",mae
うしろ,"back; behind",ushiro
なか,inside,naka
そと,outside,soto
ちかく,nearby,chikaku
となり,next to,tonari
あいだ,between,aida
ひがし,east,higashi
にし,west,nishi
きた,north,kita
みなみ,south,minami
まっすぐ,"straight (ahead)",massugu
いりぐち,entrance,iriguchi
でぐち,exit,deguchi
ばしょ,"place; location",basho
よこ,"side; beside",yoko
かど,"corner (turning)",kado
むこう,"over there; beyond",mukou
きんじょ,neighborhood,kinjo
へん,"area; vicinity",hen
まわり,"surroundings; around",mawari
とおり,street,toori
さき,"ahead; previous",saki
しんごう,traffic light,shingou
えき,station,eki
ホテル,"hotel (location)",hoteru
毎,"every (～ごと, e.g. 毎日【まいにち】every day)",mai
校,"school (e.g. 学校【がっこう】school)",kou
語,"language; word (かた-る, e.g. 日本語【にほんご】Japanese language)",go
今,"now; the present (いま)",kon
