おとうさん,father,otousan
おかあさん,mother,okaasan
おにいさん,older brother,oniisan
おねえさん,older sister,oneesan
おとうと,younger brother,otouto
いもうと,younger sister,imouto
おじいさん,grandfather,ojiisan
おばあさん,grandmother,obaasan
むすこ,son,musuko
むすめ,daughter,musume
かぞく,family,kazoku
りょうしん,parents,ryoushin
きょうだい,siblings,kyoudai
こども,"child; children",kodomo
ともだち,friend,tomodachi
おとこのひと,"man (adult male)",otoko no hito
おんなのひと,"woman (adult female)",onna no hito
おとこのこ,boy,otokonoko
おんなのこ,girl,onnanoko
ちち,(my) father,chichi
はは,(my) mother,haha
あに,(my) older brother,ani
あね,(my) older sister,ane
おっと,(my) husband,otto
つま,(my) wife,tsuma
けっこん,marriage,kekkon
ひとり,"one person; alone",hitori
ふたり,two people,futari
みなさん,"everyone (polite mina-san)",minasan
～にん,(counter for people),~nin
父,"father (ちち: one’s own father)",fu
母,"mother (はは: one’s own mother)",bo
子,"child (こ)",shi
女,"woman; female (おんな)",jo
