いちがつ,January,ichigatsu
にがつ,February,ni-gatsu
さんがつ,March,san-gatsu
しがつ,April,shi-gatsu
ごがつ,May,go-gatsu
ろくがつ,June,roku-gatsu
しちがつ,July,shichi-gatsu
はちがつ,August,hachi-gatsu
くがつ,September,ku-gatsu
じゅうがつ,October,juu-gatsu
じゅういちがつ,November,juuichi-gatsu
じゅうにがつ,December,juuni-gatsu
なんがつ,what month,nan-gatsu
ついたち,"1st (day of month)",tsuitachi
ふつか,"2nd (day of month)",futsuka
みっか,"3rd (day of month)",mikka
よっか,"4th (day of month)",yokka
いつか,"5th (day of month)",itsuka
むいか,"6th (day of month)",muika
なのか,"7th (day of month)",nanoka
ようか,"8th (day of month)",youka
ここのか,"9th (day of month)",kokonoka
とおか,"10th (day of month)",tooka
じゅうよっか,"14th (day of month)",juuyokka
はつか,"20th (day of month)",hatsuka
なんにち,"what day (of month)",nan-nichi
はる,spring,haru
なつ,summer,natsu
あき,autumn,aki
ふゆ,winter,fuyu
土,"earth; soil (つち)",do
車,"car; vehicle (くるま)",sha
山,"mountain (やま)",san
川,"river (かわ)",sen
