そうじ,cleaning,souji
せんたく,laundry,sentaku
ごみ,"garbage; trash",gomi
おさら,"plate; dish",osara
せっけん,soap,sekken
タオル,towel,taoru
ひるやすみ,lunch break,hiruyasumi
やすみ,"rest; break; holiday",yasumi
ひるね,"nap (daytime nap)",hirune
てがみ,letter,tegami
きって,postage stamp,kitte
メール,email,meeru
でんわ,phone call,denwa
でんわばんごう,phone number,denwa bangou
かいもの,shopping,kaimono
おかね,money,okane
じかん,"time (duration)",jikan
ようじ,"tasks; things to do",youji
やくそく,"promise; appointment",yakusoku
のぼる,"to climb (up)",noboru
あびる,"to bathe; to take (a shower)",abiru
みがく,"to polish; to brush (teeth)",migaku
とる,"to take (a photo)",toru
おく,"to put; place",oku
ふうとう,envelope,fuutou
たんじょうび,birthday,tanjoubi
プレゼント,"present; gift",purezento
りょうり,"cooking; cuisine",ryouri
そうじする,to clean,souji suru
せんたくする,to do laundry,sentaku suru
雨,"rain (あめ)",u
天,"heaven; sky (あま-)",ten
気,"spirit; air; mood (いき)",ki
円,"yen; circle (まる)",en
