しごと,"work; job",shigoto
てんいん,store clerk,ten’in
エンジニア,engineer,enjinia
かいしゃいん,company employee,kaishain
いしゃ,doctor,isha
かんごし,nurse,kangoshi
きょうし,"teacher (occupation)",kyoushi
せんせい,"teacher (title)",sensei
がくせい,student,gakusei
アルバイト,"part-time job (temporary)",arubaito
コック,"cook; chef",kokku
うんてんしゅ,driver,untenshu
しゃちょう,company president,shachou
じょうし,"boss; workplace superior",joushi
どうりょう,colleague,douryou
かいぎ,"meeting; conference",kaigi
オフィス,office,ofisu
はたらく,to work,hataraku
つとめる,"to work for (be employed at)",tsutomeru
やめる,"to quit; resign",yameru
まじめ,"serious; diligent",majime
たいへん,"tough; hard (situation)",taihen
きゅうりょう,salary,kyuuryou
えきいん,station staff,ekiin
こうむいん,civil servant,koumuin
けいさつかん,police officer,keisatsukan
ぶちょう,department manager,buchou
かちょう,section chief,kachou
でんわ,"telephone (also phone call)",denwa
パート,"part-timer (casual/side job)",paato
十,ten,juu
百,hundred,hyaku
千,thousand,sen
万,ten thousand,man
