テープ,tape,teepu
テープレコーダー,tape recorder,teepu rekoodaa
スリッパ,slippers,surippa
ストーブ,"(space) heater; stove",sutoobu
ポケット,pocket,poketto
グラム,gram,guramu
キロ,kilogram,kiro
ワイシャツ,"dress shirt (white shirt)",waishatsu
ジュース,juice,juusu
ナイフ,knife,naifu
フォーク,fork,fooku
スプーン,spoon,supuun
バター,butter,bataa
ラジオ,radio,rajio
カメラ,camera,kamera
ピアノ,piano,piano
ギター,guitar,gitaa
ペット,pet,petto
ハンカチ,handkerchief,hankachi
エレベーター,elevator,erebeetaa
エスカレーター,escalator,esukareetaa
ワンピース,"dress (one-piece)",wanpiisu
ボタン,button,botan
スイッチ,switch,suicchi
サンドイッチ,sandwich,sandoicchi
コンピューター,computer,konpyuuta
フランス,France,Furansu
ドイツ,Germany,Doitsu
ロシア,Russia,Roshia
インド,India,Indo
魚,"fish (さかな)",gyo
犬,"dog (いぬ)",ken
馬,"horse (うま)",ba
鳥,"bird (とり)",chou
