ゼロ/れい,zero,zero/rei
いち,one,ichi
に,two,ni
さん,three,san
し/よん,four,shi/yon
ご,five,go
ろく,six,roku
しち/なな,seven,shichi/nana
はち,eight,hachi
きゅう/く,nine,kyuu/ku
じゅう,ten,juu
にじゅう,twenty,nijuu
さんじゅう,thirty,sanjuu
よんじゅう,forty,yonjuu
ごじゅう,fifty,gojuu
ろくじゅう,sixty,rokujuu
ななじゅう,seventy,nanajuu
はちじゅう,eighty,hachijuu
きゅうじゅう,ninety,kyuujuu
ひゃく,hundred,hyaku
にひゃく,two hundred,nihyaku
さんびゃく,three hundred,sanbyaku
せん,thousand,sen
さんぜん,three thousand,sanzen
いちまん,ten thousand,ichiman
～さい,"(counter for age) ～ years old",~sai
えん,"yen (Japanese currency)",en
ひとつ,"one (thing)",hitotsu
ふたつ,"two (things)",futatsu
～つ,"(generic counter for things)",~tsu
一,one,ichi
二,two,ni
三,three,san
十,ten,juu
一,one,ichi
二,two,ni
三,three,san
十,ten,juu
