あさ,morning,asa
ひる,"daytime; noon",hiru
よる,night,yoru
きょう,today,kyou
あした,tomorrow,ashita
きのう,yesterday,kinou
あさって,the day after tomorrow,asatte
おととい,the day before yesterday,ototoi
月ようび,Monday,getsuyoubi
火ようび,Tuesday,kayoubi
水ようび,Wednesday,suiyoubi
木ようび,Thursday,mokuyoubi
金ようび,Friday,kin’youbi
土ようび,Saturday,doyoubi
日ようび,Sunday,nichiyoubi
まいあさ,every morning,maiasa
まいにち,every day,mainichi
まいばん,every night,maiban
まいしゅう,every week,maishuu
まいつき,every month,maitsuki
まいとし,every year,maitoshi
はる,spring,haru
なつ,summer,natsu
あき,autumn,aki
ふゆ,winter,fuyu
いま,now,ima
いつも,always,itsumo
たいてい,usually,taitei
ときどき,sometimes,tokidoki
なんようび,"what day (of the week)",nan’youbi
日,"day; sun",nichi
月,"month; moon",getsu/gatsu
年,"year (とし)",nen
時,"time; hour",ji
