あさごはん,breakfast,asagohan
ひるごはん,lunch,hirugohan
ばんごはん,dinner,bangohan
おちゃ,tea,ocha
みず,water,mizu
コーヒー,coffee,koohii
ぎゅうにゅう,milk,gyuunyuu
おさけ,"alcohol; sake",osake
のみもの,"beverage; drink",nomimono
おべんとう,"bento (lunch box)",obentou
ケーキ,cake,keeki
カレー,"curry (rice)",karee
りんご,apple,ringo
いちご,strawberry,ichigo
くだもの,fruit,kudamono
じゃがいも,potato,jagaimo
にんじん,carrot,ninjin
やさい,vegetable,yasai
ごはん,"cooked rice; meal",gohan
パン,bread,pan
にく,meat,niku
ぎゅうにく,beef,gyuuniku
ぶたにく,pork,butaniku
とりにく,"chicken (meat)",toriniku
さかな,fish,sakana
たまご,egg,tamago
しお,salt,shio
さとう,sugar,satou
はし,chopsticks,hashi
生,"life; to be born (い-きる / う-まれる)",sei
学,"study; learning (まな-ぶ)",gaku
先,"prior; ahead (さき)",sen
白,"white (しろ)",haku
