いえ,"house; home",ie
へや,room,heya
だいどころ,kitchen,daidokoro
トイレ,"toilet; restroom",toire
おふろ,"bath (bathroom)",ofuro
シャワー,shower,shawaa
げんかん,"entrance (hall)",genkan
にわ,"garden; yard",niwa
つくえ,desk,tsukue
テーブル,table,teeburu
いす,chair,isu
ほんだな,bookshelf,hondana
ベッド,bed,beddo
テレビ,"TV; television",terebi
でんき,"light; electricity",denki
まど,window,mado
かべ,wall,kabe
れいぞうこ,refrigerator,reizouko
でんわ,telephone,denwa
エアコン,air conditioner,eakon
かぎ,key,kagi
ラジオ,radio,rajio
カメラ,camera,kamera
ほん,book,hon
しんぶん,newspaper,shinbun
ざっし,magazine,zasshi
ドア,door,doa
けいたいでんわ,mobile phone,keitai denwa
パソコン,personal computer,pasokon
インターネット,Internet,intānetto
口,"mouth (くち)",kou
石,"stone (いし)",seki
手,"hand (て)",shu
足,"foot; leg (あし)",soku
