がっこう,school,gakkou
ちゅうがっこう,"middle school (junior high)",chuugakkou
こうこう,high school,koukou
だいがく,"university; college",daigaku
せんせい,"teacher (title)",sensei
がくせい,student,gakusei
せいと,"pupil (student)",seito
クラス,class,kurasu
じゅぎょう,"class; lesson",jugyou
きょうしつ,classroom,kyoushitsu
しゅくだい,homework,shukudai
テスト,"test; exam",tesuto
もんだい,"problem; question (exercise)",mondai
しつもん,"question (query)",shitsumon
こたえ,answer,kotae
ノート,notebook,nooto
かばん,bag,kaban
きょうかしょ,textbook,kyoukasho
ページ,page,peeji
さくぶん,"essay; composition",sakubun
べんきょう,study,benkyou
れんしゅう,practice,renshuu
いみ,meaning,imi
ことば,"word; language",kotoba
じしょ,dictionary,jisho
えんぴつ,pencil,enpitsu
ペン,pen,pen
けしゴム,eraser,keshigomu
かみ,paper,kami
きょうし,"teacher (profession)",kyoushi
耳,"ear (みみ)",ji
目,"eye (め)",moku
体,"body (からだ)",tai
上,"above; up (うえ)",jou
