くつ,shoes,kutsu
くつした,socks,kutsushita
ふく,clothes,fuku
コート,coat,kooto
Tシャツ,T-shirt,tiishatsu
ワイシャツ,"dress shirt (white shirt)",waishatsu
スカート,skirt,sukaato
ズボン,pants,zubon
セーター,sweater,seetaa
スーツ,suit,suutsu
ぼうし,"hat; cap",boushi
ネクタイ,necktie,nekutai
てぶくろ,gloves,tebukuro
めがね,glasses,megane
かさ,umbrella,kasa
あお,"blue (color)",ao
あか,"red (color)",aka
しろ,"white (color)",shiro
くろ,"black (color)",kuro
きいろ,"yellow (color)",kiiro
ちゃいろ,"brown (color)",chairo
みどり,"green (color)",midori
あおい,"blue (adj)",aoi
あかい,"red (adj)",akai
しろい,"white (adj)",shiroi
くろい,"black (adj)",kuroi
きる,"to wear; put on (clothes above waist)",kiru
ぬぐ,"to take off (clothes/shoes)",nugu
かわいい,cute,kawaii
きれい,"pretty; clean",kirei
下,"below; down (した)",ka/ge
中,"middle; inside (なか)",chuu
大,"big; large (おお-きい)",dai
小,"small (ちい-さい)",shou
