たてもの,building,tatemono
みち,"road; way",michi
はし,bridge,hashi
もん,gate,mon
アパート,apartment,apaato
うち,"home; (one’s) house",uchi
かいしゃ,company,kaisha
えいがかん,movie theater,eigakan
デパート,department store,depaato
みせ,"shop; store",mise
ほんや,bookstore,honya
スーパー,supermarket,suupaa
コンビニ,convenience store,konbini
きっさてん,"coffee shop; café",kissaten
レストラン,restaurant,resutoran
がっこう,"school (institution)",gakkou
だいがく,"university (institution)",daigaku
としょかん,library,toshokan
たいしかん,embassy,taishikan
ホテル,hotel,hoteru
ゆうびんきょく,post office,yuubinkyoku
ぎんこう,bank,ginkou
びょういん,hospital,byouin
プール,swimming pool,puuru
こうばん,"police box (mini police station)",kouban
こうえん,park,kouen
えき,train station,eki
しんごう,traffic light,shingou
バスてい,bus stop,basu-tei
ビル,"(multi-story) building",biru
本,"book; origin",hon
力,"power; strength (ちから)",ryoku
出,"to go out; exit (で-る)",shutsu
入,"to enter (はい-る)",nyuu
